year,game_code,a_team_code,b_team_code,a_result,b_result,a_points,b_points,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,half_leader,hometeam,b_home,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,surfaceint,year_opened,a_team_name,a_name_conference,team_name,name_conference
2013,2047220131026,472,2,1,0,21,22,20,16,100,100,87,87,169,169,159,159,18,21,3,5,2,2,10,15,-1,1,BTEAM     ,A,0,10/26/2013,88,Aggie Stadium                                                              ,TEAM           ,Las Cruces                                                                 ,NM,40000,Grass                    ,1,1978,New Mexico State                                  ,Independent                                                                ,Abilene Christian                                 ,Ind                                                                        
2010,5004720101106,5,47,0,1,7,13,18,18,32,32,110,110,71,71,42,42,15,14,8,5,1,1,5,0,-6,6,BTEAM     ,B,1,11/6/2010,48,Scheumann Stadium                                                          ,TEAM           ,Munice                                                                     ,IN,22500,FieldTurf                ,0,1967,Akron                                             ,Mid-American Conference                                                    ,Ball State                                        ,Mid-American Conference                                                    
2009,5007120091120,71,5,1,0,9,10,13,21,-81,-81,85,85,166,166,60,60,18,10,6,3,3,0,20,0,-1,1,BTEAM     ,A,0,11/20/2009,96,Doyt Perry Stadium                                                         ,TEAM           ,Bowling Green                                                              ,OH,28599,FieldTurf                ,0,1966,Bowling Green                                     ,Mid-American Conference                                                    ,Akron                                             ,Mid-American Conference                                                    
2013,5007120130928,5,71,0,1,14,10,15,21,61,61,82,82,137,137,73,73,23,13,8,6,2,1,23,5,4,4,ATEAM     ,B,1,9/28/2013,96,Doyt Perry Stadium                                                         ,TEAM           ,Bowling Green                                                              ,OH,28599,FieldTurf                ,0,1966,Akron                                             ,Mid-American Conference                                                    ,Bowling Green                                     ,Mid-American Conference                                                    
2009,5008620091017,5,86,0,1,7,7,18,18,-13,-13,43,43,0,0,144,144,11,21,3,9,1,4,15,15,0,0,TIED      ,B,1,10/17/2009,91,UB Stadium                                                                 ,TEAM           ,Buffalo                                                                    ,NY,31000,Sportexe Momentum        ,0,1993,Akron                                             ,Mid-American Conference                                                    ,Buffalo                                           ,Mid-American Conference                                                    
2012,5012920121027,5,129,0,1,7,14,17,15,72,72,126,126,73,73,75,75,29,18,6,8,4,3,25,10,-7,7,BTEAM     ,B,1,10/27/2012,70,Kelly/Shorts Stadium                                                       ,TEAM           ,Mount Pleasant                                                             ,MI,30199,FieldTurf                ,0,1972,Akron                                             ,Mid-American Conference                                                    ,Central Michigan                                  ,Mid-American Conference                                                    
2008,5020420081018,204,5,0,1,14,24,23,19,100,100,158,158,45,45,103,103,16,12,7,7,0,1,0,15,-10,10,BTEAM     ,A,0,10/18/2008,71,Rynearson Stadium                                                          ,TEAM           ,Ypsilanti                                                                  ,MI,30200,FieldTurf                ,0,1969,Eastern Michigan                                  ,Mid-American Conference                                                    ,Akron                                             ,Mid-American Conference                                                    
2011,5020420111001,204,5,1,0,14,10,34,15,175,175,41,41,64,64,75,75,5,10,2,5,3,3,10,25,4,4,ATEAM     ,A,0,10/1/2011,71,Rynearson Stadium                                                          ,TEAM           ,Ypsilanti                                                                  ,MI,30200,FieldTurf                ,0,1969,Eastern Michigan                                  ,Mid-American Conference                                                    ,Akron                                             ,Mid-American Conference                                                    
2008,5033120081004,331,5,0,1,21,10,25,17,106,106,64,64,93,93,83,83,13,15,4,5,1,1,7,5,11,11,ATEAM     ,A,0,10/4/2008,100,Dix Stadium                                                                ,TEAM           ,Kent                                                                       ,OH,29287,FieldTurf                ,0,1969,Kent State                                        ,Mid-American Conference                                                    ,Akron                                             ,Mid-American Conference                                                    
2010,5033120101009,331,5,1,0,21,10,13,21,64,64,74,74,126,126,149,149,20,15,8,8,4,4,10,40,11,11,ATEAM     ,A,0,10/9/2010,100,Dix Stadium                                                                ,TEAM           ,Kent                                                                       ,OH,29287,FieldTurf                ,0,1969,Kent State                                        ,Mid-American Conference                                                    ,Akron                                             ,Mid-American Conference                                                    
